folder,header,first_page
7232-15,"UNITED STATES OF AMERICA (— RECEIV
Before the eS
COMMODITY FUTURES TRADING COMMISSION
Office of Proceedings
) Proceedings Clerk
In the Matter of: ) 2:04 pm, Sep 17, 2015
) Ne TS)
Terry Lee Phillips, Phillips )
Investment & Trust LLC, and ) CFTC Docket No. 15-30
Corporate I Communications & )
Technology Inc., )
Respondents. )
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from in or about October 2011 to at least March 2014 (the “Relevant Period”), Terry Lee Phillips
and his companies Phillips Investment & Trust LLC and Corporate I Communications &
Technology Inc. (collectively “Respondents”) violated Sections 4b(a)(1)(A)-(C) and
4o0(1)(A)-(B) of the Commodity Exchange Act (“CEA” or “Act”), 7 U.S.C. 88 6b(1)(2)(A)-(C),
60(1)(A)-(B). Therefore, the Commission deems it appropriate and in the public interest that
public administrative proceedings be, and hereby are, instituted to determine whether
Respondents engaged in the violations set forth herein and to determine whether any order
should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledge service of this Order.’
Respondents consent to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondents do not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce"
7233-15,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSIOT
Office of Proceedings
Proceedings Clerk
\ 2:13 pm, Sep 17, a,
In the Matter of
Australia and New Zealand CFTC Docket No. 15-31
Banking Group Ltd.,
Respondent.
A A a a a a 4 444
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT,
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from at least March 1, 2013 through November 30, 2014 (the “Relevant Period”), Australia and
New Zealand Banking Group Ltd. (“ANZ” or “Respondent’”) violated Section 4s(f) of the
Commodity Exchange Act (the “Act”), 7 U.S.C. § 6s(f) (2012) and Commission Regulations
(“Regulations”) 20.4 and 20.7, 17 C.F.R §§ 20.4 and 20.7 (2014). Therefore, the Commission
deems it appropriate and in the public interest that public administrative proceedings be, and
hereby are, instituted to determine whether Respondent engaged in the violations set forth herein,
and to determine whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order.’
1 : : : : . .
Respondent consents to the entry of this Order and to the use of these findings in this proceeding and in any
other proceeding brought by the Commission or to which the Commission is a party; provided, however, that
Respondent does not consent to the use of the Offer or the findings or conclusions in this Order consented to in the
Offer, as the sole basis for any other proceeding brought by the Commission, other than a proceeding in bankruptcy
or to enforce the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
findings or conclusions in this Order consented to in the Offer, by any other party in any other proceeding."
7235-15,"UNITED STATES OF AMERICA (— RECEIVED CFTC \
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
NS 2:17 pm, Sep 17, aw,
In the Matter of
Robert M. McMahon, CFTC Docket No. 15-32
Respondent.
Nee Nee ee ee” ee” ee” SN”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
in or about July 2010 (the “Relevant Period”), Robert M. McMahon (“McMahon” or
Respondent’) violated Sections 4b(a)(1)(A) and (C) of the Commodity Exchange Act (“CEA”
or “Act”), 7 U.S.C. § 6b(a)(1)(A) and (C). Therefore, the Commission deems it appropriate and
in the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent engaged in the violations set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order.’
' Respondent consents to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondent does not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce
the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
1"
7240-15,"UNITED STATES OF AMERICA
Office of Proceedings
Before the Proceedings Clerk
COMMODITY FUTURES TRADING COMMISSION
\ 11:37 am, Sep 24, 2019]
CFTC Docket No. 15-33
In the Matter of:
ORDER INSTITUTING
PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE
COMMODITY EXCHANGE ACT
MAKING FINDINGS AND
IMPOSING REMEDIAL
SANCTIONS
TeraExchange LLC,
Respondent.
Nene Newnes “ee ee”
I.","The Commodity Futures Trading Commission (“Commission’’) has reason to believe that
TeraExchange, LLC (‘Tera’), a provisionally registered swap execution facility (“SEF”), has
violated Section 5h(f)(2) of the Commodity Exchange Act (“Act”), 7 U.S.C. § 7b-3(1)(2) (2012),
and Commission Regulation (“Regulation’’) 37.203, 17 C.F.R. § 37.203 (2014). The
Commission, therefore, deems it appropriate and in the public interest that a public
administrative proceeding be, and hereby is, instituted to determine whether Tera engaged in the
violations set forth herein and to determine whether any order should be issued imposing
remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Tera has submitted an
Offer of Settlement (“Offer’’), which the Commission has determined to accept. Tera
acknowledges service of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of
the Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”). '
' Tera consents to the entry of this Order, the use of these findings in this proceeding and
in any other proceeding brought by the Commission or to which the Commission is a party;
provided, however, that Tera does not consent to the use of the Offer, or the findings in this
Order consented to in the Offer, as the sole basis for any other proceeding brought by the
Commission, other than a proceeding in bankruptcy or to enforce the terms of this Order. Nor
does Tera consent to the use of the Offer or this Order, or the findings consented to in the Offer
or this Order, by any other party in any other proceeding."
7253-15,"UNITED STATES OF AMERICA
Before the (~
COMMODITY FUTURES TRADING COMMISSION RECEIVED CFTC
pris leo,
of Ry ‘o
a aii
° a =
Zz ; GS
7 Zs a
Office of Proceedings
In the Matter of: Proceedings Clerk
\ 12:56 pm, Sep 29, 2015
Barbara Cohen and Pure Reason,
LLC, CFTC Docket No. 15 - 39
Respondents.
atl ee” ee, lanes See” ‘ee nel ‘sure
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, AS AMENDED,
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
1","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
on October 22, 2014, Barbara Cohen (“Cohen”) violated Section 6(c)(2) of the Commodity
Exchange Act, as amended (“Act”), 7 U.S.C. § 9(2) (2012) and during the period from March
2012 to January 2013 (“2012-2013 period’) Cohen violated Commission Regulation 4.41(b), 17
C.F.R. § 4.41(b) (2014), pursuant to § 13(b) of the Act, 7 USC §13c(b). Also, during the 2012-
2013 period, Pure Reason, LLC (“Pure Reason”) violated Regulation 4.41(b), 17 C.F.R. §
4.41(b) (2014). Therefore, the Commission deems it appropriate and in the public interest that
public administrative proceedings be, and hereby are, instituted to determine whether Cohen and
Pure Reason (collectively, “Respondents”) engaged in the violations set forth herein and to
determine whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, as Amended, Making Findings and Imposing Remedial Sanctions
(“Order”) and acknowledge service of this Order. !
Respondents consent to the entry of this Order and to the use of these findings in this proceeding and in
any other proceeding brought by the Commission or to which the Commission is a party; provided,
however, that Respondents do not consent to the use of the Offer, or the findings or conclusions in this
Order consented to in the Offer, as the sole basis for any other proceeding brought by the Commission,
other than in a proceeding in bankruptcy or to enforce the terms of this Order. Nor do Respondents"
7345-16,"(— RECEIVED CFTC >
UNITED STATES OF AMERICA
Before The
COMMODITY FUTURES TRADING COMMISSION|
Proceedings Clerk
\ 10:43 am, Mar 22, 2016 /
In the Matter of: )
Credit Suisse International and )
Credit Suisse Securities (USA) ) CFTC Docket No. 16-10
LLC, )
Respondents,
ORDER INSTITUTING PROCEEDINGS PURSUANT TO SECTIONS 6(c) AND 6(d) OF
THE COMMODITY EXCHANGE ACT, MAKING FINDINGS AND IMPOSING
REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission” or “CFTC”) has reason to
believe that on several days in April and June 2009, Credit Suisse International (“CSI”) violated
Section 4a(b)(2) of the Commodity Exchange Act (“Act”), 7 U.S.C. § 6a(b)(2) (2009), and
Commission Regulation 150.2, 17 C.F.R. § 150.2 (2009). The Commission also has reason to
believe that in March 2013, Credit Suisse Securities (USA), LLC (“CSS-USA”) violated Section
6(c)(2) of the Act, 7 U.S.C. § 9(2) (2012). Collectively, CSI and CSS-USA are referred to herein
as “Respondents.” Therefore, the Commission deems it appropriate and in the public interest
that public administrative proceedings be, and hereby are, instituted to determine whether
Respondents engaged in the violations set forth herein and to determine whether any order
should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) (2012) of the
Act, Making Findings and Imposing Remedial Sanctions (“Order’’) and acknowledge service of
this Order.
Respondents consent to the entry of this Order and to the use of these findings in this proceeding and in any
other proceeding brought by the Commission or to which the Commission is a party; provided, however, that
Respondents do not consent to the use of the Offer, or the findings or conclusions in this Order consented to in the
Offer, as the sole basis for any other proceeding brought by the Commission, other than in a proceeding in
bankruptcy or to enforce the terms of this Order. Nor do Respondents consent to the use of the Offer or this Order,
or the findings or conclusions in this Order consented to in the Offer, by any other party in any other proceeding."
7407-16,"UNITED STATES OF AMERICA tp
Before the ON
Proceedings Clerk
\ 11:57 am, Jul 14, 2018
In the Matter of:
Atlantas Group, Inc. and
Edmund Hysni CFTC Docket No. 16-23
Respondents.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
Atlantas Group, Inc. (“Atlantas”) and Edmund Hysni (“Hysni,” and together with Atlantas,
“Respondents”) violated Sections 4c(b) and 9(a)(4) of the Commodity Exchange Act (“Act”), 7
U.S.C. §§ 6c(b) and 13(a)(4), and Commission Regulation (“Regulation”) 33.10, 17 C.F.R. §
33.10. Therefore, the Commission deems it appropriate and in the public interest that public
administrative proceedings be, and hereby are, instituted to determine whether Respondents
engaged in the violations set forth herein and to determine whether any order should be issued
imposing remedial sanctions.
II,
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order’’) and
acknowledge service of this Order.
' Respondents consent to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondents do not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce"
7426-16,"3:14-cv-00866-TLW _ Date Filed 08/05/16 Entry Number 44 Page 1 of 20
IN THE UNITED STATES DISTRICT COURT
FOR THE DISTRICT OF SOUTH CAROLINA
COLUMBIA DIVISION
U.S. Commodity Futures Trading Case No. 3:14-cv-866-TLW
Commission,
PLAINTIFF
V. ORDER
Robert S. Leben and Amy L. Leben,
DEFENDANTS","This matter comes before the Court on Plaintiff U.S. Commodity Futures Trading
Commission’s (CFTC) motion for summary judgment, ECF No. 25, and Defendants Robert and
Amy Leben’s cross-motion for summary judgment, ECF No. 33. After careful consideration of
the applicable law, the evidence submitted by the parties, and the conduct to which Robert Leben
pled guilty in a related criminal case, the CFTC’s motion is granted and the Lebens’ cross-motion
is denied.
FACTUAL AND PROCEDURAL BACKGROUND
In January 2014, the CFTC filed this lawsuit seeking a permanent injunction, civil
monetary penalty, restitution, and disgorgement of funds against the Lebens based on their
operation of a Ponzi scheme that defrauded twelve investors of more than $2,000,000. ECF No.
1. Specifically, the CFTC alleges the Lebens, through their company Structured Finance Group
(SFG), ran a fraudulent commodity pool in violation of certain provisions of the Commodity
Exchange Act (CEA) 7 U.S.C. §§ I et seg., and certain CFTC Regulations found at 17 C.F.R. §§
1.1 et seg. Id.
At the outset of the proceedings, the Court granted the CFTC’s motion for a temporary
restraining order and, thereafter, granted the parties’ consent motion for a preliminary injunction."
7594-17,"(— RECEIVED CFTC \
UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
0:50 am, Jul 26, 2017
In the Matter of:
Simon Posen, CFTC Docket No.: 17 —20
Respondent.
Nee Ne ee ee ee “ee ee Nee “Nee”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTION 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT,
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
Simon Posen (“Posen” or “Respondent’’) violated Section 4c(a)(5)(C) of the Commodity
Exchange Act (“Act” or “CEA”), 7 U.S.C. § 6c(a)(5)(C) (2012), from at least December 2011
through March 2015 (the “Relevant Period’). Therefore, the Commission deems it appropriate
and in the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent engaged in the violations set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer’’) that the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Section 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order’’) and
acknowledges service of this Order.’
' Respondent consents to the entry of this Order and to the use of these findings in this proceeding and in any other
proceeding brought by the Commission or to which the Commission is a party; provided, however, that Respondent
does not consent to the use of the Offer or the findings or conclusions in this Order consented to in the Offer, as the
sole basis for any other proceeding brought by the Commission, other than a proceeding in bankruptcy or to enforce
the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the findings or
conclusions in this Order consented to in the Offer, by any other party in any other proceeding."
7776-18,"(— RECEIVED CFTC >
UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
16 pm, Aug 29, 2018 /
In the Matter of:
BNP Paribas Securities Corp., CFTC Docket No. 18-19
Respondent.
Nee ee ee ee” ee” ee” NL”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS, AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
BNP Paribas Securities Corp. (“Respondent,” “BNPP,” or the “firm’’) has violated the
Commodity Exchange Act (the “Act” or “CEA”’) and Commission Regulations (“Regulations”).
Therefore, the Commission deems it appropriate and in the public interest that public
administrative proceedings be, and hereby are, instituted to determine whether Respondent
engaged in the violations set forth herein, and to determine whether any order shall be issued
imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying the findings or conclusions herein, Respondent consents to the
entry and acknowledges service of this Order Instituting Proceedings Pursuant to Sections 6(c)
and 6(d) of the Commodity Exchange Act, Making Findings, and Imposing Remedial Sanctions
(“Order’’).
' Respondent consents to the entry of this Order and to the use of these findings in this proceeding and in any other
proceeding brought by the Commission or to which the Commission is a party; provided, however, that Respondent
does not consent to the use of the Offer, or the findings or conclusions in this Order, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce the terms of this
Order. Nor does Respondent consent to the use of the Offer or this Order, or the findings or conclusions in this
Order consented to in the Offer, by any other party in any other proceeding."
7946-19,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
ES TRAD
ay he
In the Matter of:
Merrill Lynch Commodities, Inc.,
CFTC Docket No. 19-07
Respondent.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTION 6(c) AND (d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS, AND IMPOSING REMEDIAL SANCTIONS
I. INTRODUCTION","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from at least 2008 through 2014 (“Relevant Period”), Merrill Lynch Commodities, Inc, (““MLCI”
or “Respondent”) has violated Section 9(a)(2) of the Commodity Exchange Act (the “Act” or
“CEA”), 7 U.S.C. § 13(a)(2) (2012), and, for conduct occurring on or after August 15, 2011,
Sections 4c(a)(5)(C), 6(c)(1), and 6(c)(3) of the Act, 7 U.S.C. §§ 6c(a)(5)(C), 9(1), 9(3) (2012),
and Regulations 180.1 and 180.2, 17 C.F.R. §§ 180.1, 180.2 (2018), of the Commission
Regulations (“Regulations”), Therefore, the Commission deems it appropriate and in the public
interest that public administrative proceedings be, and hereby are, instituted to determine
whether Respondent engaged in the violations set forth herein and to determine whether any
order should be issued imposing remedial sanctions.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, except to the extent that
Respondent admits those findings in any related action against Respondent by, or any agreement
with, the United States Department of Justice or any other governmental agency or office,
Respondent consents to the entry of this Order Instituting Proceedings Pursuant to Section 6(c)
and 6(d) of the Commodity Exchange Act, Making Findings, and Imposing Remedial Sanctions
(“Order”), and acknowledges service of this Order.’
' Respondent consents to the use of the findings of fact and conclusions of law in this Order in this proceeding and
in any other proceeding brought by the Commission or to which the Commission is a party or claimant, and agrees
that they shal] be taken as true and correct and be given preclusive effect therein, without further proof. Respondent
does not consent, however, to the use of this Order, or the findings or conclusions herein, as the sole basis for any
other proceeding brought by the Commission or to which the Commission is a party or claimant, other than: a
proceeding in bankruptcy or receivership; or a proceeding to enforce the terms of this Order. Respondent does not
consent to the use of the Offer or this Order, or the findings or conclusions in this Order, by any other party in any
other proceeding.
(— RECEIVED CFTC
Proceedings Clerk
\ 11:27 am, Jun 25, a,"
8042-19,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
(— RECEIVED CFTC >
In the Matter of:
The Bank of New York Mellon, |
CFTC Docket No. 19-42 Proceedings Clerk
LS 7:47 pm, Sep 30, 2019 )
Respondent.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTION 6(c) AND (d) OF THE COMMODITY EXCHANGE ACT,
MAKING FINDINGS, AND IMPOSING REMEDIAL SANCTIONS
I, INTRODUCTION","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from December 31, 2012, until at least 2018 (the “Relevant Period”), The Bank of New York
Mellon (“BNYM,” “Respondent,” or the ‘““Bank”) violated Sections 2(a)(13)(G) and 4r(a)(3) of
the Commodity Exchange Act (the “Act’), 7 U.S.C. §§ 2(a)(13)(G), 6r(a)(3) (2012), and
Regulations 43.3 and 45.3, 17 C.F.R. §§ 43.3, 45.3 (2019), of the Commission’s Regulations
(“Regulations”) promulgated thereunder. Therefore, the Commission deems it appropriate and
in the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent engaged in the violations set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Section 6(c) and (d) of the Act,
Making Findings, and Imposing Remedial Sanctions (“Order”), and acknowledges service of this
Order.
Respondent consents to the use of the findings of fact and conclusions of law in this Order in this proceeding and
in any other proceeding brought by the Commission or to which the Commission is a party or claimant, and agrees
that they shall be taken as true and correct and given preclusive effect therein, without further proof. Respondent
does not consent, however, to the use of this Order, or the findings or conclusions herein, as the sole basis for any
other proceeding brought by the Commission or to which the Commission ts a party or claimant, other than: a
proceeding in bankruptcy or receivership; or a proceeding to enforce the terms of this Order. Respondent does not
consent to the use of the Offer or this Order, or the findings or conclusions in this Order, by any other party in any
other proceeding."
8068-19,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
RECEIVED CFTC
In the Matter of:
XBT Corp. SARL d/b/a First
Global Credit, CFTC Docket No. 20-04
Proceedings Clerk
8:44 am, Oct 31, 2019
Respondent.
eee
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTION 6(c) AND (d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS, AND IMPOSING REMEDIAL SANCTIONS
I. INTRODUCTION","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from March 2016 to July 2017 (“Relevant Period”), XBT Corp. SARL d/b/a First Global Credit
(“FGC” or “Respondent’) violated Section 4d(a)(1) of the Commodity Exchange Act (“Act”),
7 U.S.C. § 6d(a)(1) (2012). Therefore, the Commission deems it appropriate and in the public
interest that public administrative proceedings be, and hereby are, instituted to determine
whether Respondent engaged in the violations set forth herein and to determine whether any
order should be issued imposing remedial sanctions.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer’’), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Section 6(c) and (d) of the Commodity
Exchange Act, Making Findings, and Imposing Remedial Sanctions (“Order”), and
acknowledges service of this Order. !
' Respondent consents to the use of the findings of fact and conclusions of law in this Order in this proceeding and
in any other proceeding brought by the Commission or to which the Commission is a party or claimant, and agrees
that they shall be taken as true and correct and be given preclusive effect therein, without further proof. Respondent
does not consent, however, to the use of this Order, or the findings or conclusions herein, as the sole basis for any
other proceeding brought by the Commission or to which the Commission is a party or claimant, other than: a
proceeding in bankruptcy or receivership; or, a proceeding to enforce the terms of this Order. Respondent does not
consent to the use of the Offer or this Order, or the findings or conclusions in this Order, by any other party in any
other proceeding."
8157-20,"AE Document 28 Filed 04/22/20 Page i of 29
UNITED STATES DISTRICT COURT
SOUTHERN DISTRICT OF NEW YORE
COMMODITY FUTURES TRADING : Case No. 19-cv-8409-PAE
COMMISSION, :
Plaintiff,
v.
FUTURESFX and SIMON IOUSEF,
Defendants.
CONSENT ORDER FOR PERMANENT INJUNCTION, CIVIL
MONETARY PENALTIES, AND OTHER EQUITABLE RELIEF
AGAINST DEFENDANTS FUTURESEX AND SIMON JOUSER
L INTRODUCTION","On September 36, 2019, Plaintiff Commodity Futures Trading Commission
(“Commission” or “CFTC”) filed a complaint against Defendant Simon Jousef (“Jousef"") and
his business FuturesFX (collectively, “Defendants”), seeking injunctive and other equitable
relief, as well as restitution and the imposition of civil monetary penalties, for violations of the
Commodity Exchange Act (the “Act”), 7 U.S.C. §§ 1-26 (2018), and the Commission’s
Regulations (“Regulation”), 17 C.F.R. §§ 1-190 (2619).
IL. CONSENTS AND AGREEMENTS
To effect settlement of all charges alleged in the Complaint against Defendants without a
trial on the merits or any further judicial proceedings, Defendanis:"
8218-20,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
(— RECEIVED CFTC >
yrs do,
In the Matter of: Sfx.
Interactive Brokers LLC, CFTC Docket No. 20-25 ss oF
Respondent. Proceedings Clerk
Nee Nee ee” ee ee” SN”
\ 7:20 am, Aug 10, 2020 /
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTION 6(c) AND (d) OF THE COMMODITY EXCHANGE ACT,
MAKING FINDINGS, AND IMPOSING REMEDIAL SANCTIONS
I. INTRODUCTION","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
Interactive Brokers LLC (“Interactive Brokers’’), a registered futures commission merchant
(“FCM”), has violated Commission Regulations (“Regulations”) 42.2 and 166.3, 17 C.F.R. §§
42.2, 166.3 (2019). Therefore, the Commission deems it appropriate and in the public interest
that public administrative proceedings be, and hereby are, instituted to determine whether
Interactive Brokers engaged in the violations set forth herein and to determine whether any order
should be issued imposing remedial sanctions.
In anticipation of the institution of an administrative proceeding, Interactive Brokers has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Interactive Brokers
consents to the entry of this Order Instituting Proceedings Pursuant to Section 6(c) and (d) of the
Commodity Exchange Act, Making Findings, and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order.’
' Interactive Brokers consents to the use of the findings of fact and conclusions of law in this
Order in this proceeding and in any other proceeding brought by the Commission or to which the
Commission is a party or claimant, and agrees that they shall be taken as true and correct and be
given preclusive effect therein, without further proof. Interactive Brokers does not consent,
however, to the use of this Order, or the findings or conclusions herein, as the sole basis for any
other proceeding brought by the Commission or to which the Commission is a party or claimant,
other than: a proceeding in bankruptcy or receivership; or a proceeding to enforce the terms of
this Order. Interactive Brokers does not consent to the use of the Offer or this Order, or the
findings or conclusions in this Order, by any other party in any other proceeding."
